id;the_geom;junction;type;lanes;maxspeed;oneway;foot;bicycle;access;bus;parking_la;sidewalk;cycleway
roads.134;MULTILINESTRING ((1.5079902000000003 43.519704299999994, 1.5081479 43.51977849999999));;tertiary;1;30.0;;;;;;;;
roads.135;MULTILINESTRING ((1.5081479 43.51977849999999, 1.5079902000000003 43.519704299999994));;tertiary;1;30.0;;;;;;;;
roads.136;MULTILINESTRING ((1.511107 43.52107049999998, 1.5111908 43.52103259999998, 1.5112656999999998 43.5210174, 1.5113507 43.521021799999986));roundabout;tertiary;1;50.0;;;;;;;;
roads.137;MULTILINESTRING ((1.5113507 43.521021799999986, 1.5112656999999998 43.5210174, 1.5111908 43.52103259999998, 1.511107 43.52107049999998));;tertiary;1;50.0;;;;;;;;
roads.138;MULTILINESTRING ((1.5113507 43.521021799999986, 1.5114032 43.52103989999998, 1.5114414 43.5210644, 1.5115003000000002 43.521114799999985, 1.5115211000000002 43.52114109999999));roundabout;tertiary;1;50.0;;;;;;;;
roads.139;MULTILINESTRING ((1.5115211000000002 43.52114109999999, 1.5115003000000002 43.521114799999985, 1.5114414 43.5210644, 1.5114032 43.52103989999998, 1.5113507 43.521021799999986));;tertiary;1;50.0;;;;;;;;
roads.140;MULTILINESTRING ((1.5136581 43.52146390000001, 1.5135912000000002 43.52146569999999, 1.5135253999999998 43.5214566, 1.5134641000000002 43.52143709999999, 1.5134422000000003 43.52142529999999));roundabout;tertiary;1;50.0;;;;;;;;
roads.141;MULTILINESTRING ((1.5134422000000003 43.52142529999999, 1.5134641000000002 43.52143709999999, 1.5135253999999998 43.5214566, 1.5135912000000002 43.52146569999999, 1.5136581 43.52146390000001));;tertiary;1;50.0;;;;;;;;
roads.142;MULTILINESTRING ((1.5115211000000002 43.52114109999999, 1.5115815000000001 43.52117649999999, 1.5116788000000003 43.52119779999999));;tertiary;1;50.0;yes;;;;;;;
roads.143;MULTILINESTRING ((1.5116788000000003 43.52119779999999, 1.5122237 43.52119999999999));;tertiary;1;50.0;yes;;;;;;;
roads.144;MULTILINESTRING ((1.5122237 43.52119999999999, 1.5124045 43.521208099999996, 1.5131092 43.52120839999999, 1.5132023 43.52120839999999, 1.5132779000000003 43.52118639999999, 1.5133497 43.521149099999995));;tertiary;1;50.0;yes;;;;;;;
roads.145;MULTILINESTRING ((1.5133357 43.521328299999986, 1.5132571999999997 43.52130309999999, 1.5131974999999998 43.521284099999995, 1.5131216999999997 43.52127339999999, 1.5129053 43.521272399999994, 1.5123783 43.521269999999994, 1.5122197 43.52126629999998));;tertiary;1;50.0;yes;;;;;;;
roads.146;MULTILINESTRING ((1.5122197 43.52126629999998, 1.5116788000000003 43.52125289999998));;tertiary;1;50.0;yes;;;;;;;
roads.147;MULTILINESTRING ((1.5116788000000003 43.52125289999998, 1.5115875 43.521262699999994, 1.5115526000000004 43.5212695, 1.5114919 43.52128480000001));;tertiary;1;50.0;yes;;;;;;;
roads.148;MULTILINESTRING ((1.5134849 43.52227889999999, 1.5134858000000002 43.52277369999999, 1.5135020999999997 43.52299059999999, 1.5135346000000003 43.5231977, 1.5135767 43.52341539999998, 1.5136372 43.52362649999999, 1.5136889 43.523767199999995, 1.5137600999999998 43.52394559999999, 1.5138883000000003 43.52419589999998, 1.5140760999999998 43.524500599999996, 1.5142786 43.52476509999999, 1.5145450000000003 43.52506239999998, 1.5148557000000002 43.52535189999998, 1.5154393 43.525835399999984));;tertiary;1;50.0;;;;;;;;
roads.149;MULTILINESTRING ((1.5154393 43.525835399999984, 1.5148557000000002 43.52535189999998, 1.5145450000000003 43.52506239999998, 1.5142786 43.52476509999999, 1.5140760999999998 43.524500599999996, 1.5138883000000003 43.52419589999998, 1.5137600999999998 43.52394559999999, 1.5136889 43.523767199999995, 1.5136372 43.52362649999999, 1.5135767 43.52341539999998, 1.5135346000000003 43.5231977, 1.5135020999999997 43.52299059999999, 1.5134858000000002 43.52277369999999, 1.5134849 43.52227889999999));;tertiary;1;50.0;;;;;;;;
roads.150;MULTILINESTRING ((1.4823394999999997 43.51694989999999, 1.4825324 43.51689930000001, 1.4828974000000001 43.516763099999984, 1.4834553000000001 43.516763099999984, 1.4839095 43.51671889999999));;residential;1;50.0;;;;;;;;
roads.151;MULTILINESTRING ((1.4839095 43.51671889999999, 1.4834553000000001 43.516763099999984, 1.4828974000000001 43.516763099999984, 1.4825324 43.51689930000001, 1.4823394999999997 43.51694989999999));;residential;1;50.0;;;;;;;;
roads.152;MULTILINESTRING ((1.4839095 43.51671889999999, 1.4842933000000003 43.51654459999999, 1.4850088000000001 43.516200899999994));;residential;1;50.0;;;;;;;;
roads.153;MULTILINESTRING ((1.4850088000000001 43.516200899999994, 1.4842933000000003 43.51654459999999, 1.4839095 43.51671889999999));;residential;1;50.0;;;;;;;;
roads.154;MULTILINESTRING ((1.4850088000000001 43.516200899999994, 1.4850674 43.51617449999999));;residential;1;50.0;;;;;;;;
roads.155;MULTILINESTRING ((1.4850674 43.51617449999999, 1.4850088000000001 43.516200899999994));;residential;1;50.0;;;;;;;;
roads.156;MULTILINESTRING ((1.4850674 43.51617449999999, 1.4851747 43.51611039999999, 1.4852471 43.51605929999999, 1.4853215 43.51599799999998));;residential;1;50.0;;;;;;;;
roads.157;MULTILINESTRING ((1.4853215 43.51599799999998, 1.4852471 43.51605929999999, 1.4851747 43.51611039999999, 1.4850674 43.51617449999999));;residential;1;50.0;;;;;;;;
